2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来_腾讯新闻

# 2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来

家有幼升小、小升初学生的家长看过来！《2024年闵行区义务教育阶段学校招生入学工作的实施意见》发布啦！

家长最关心的“招生划片范围、小学阶段招生、初中阶段招生、民办学校招生”信息，以及各个阶段时间节点都在这里！详见下文。

根据闵行区“十四五”期间区域教育布局调整和常住人口分布的变化，结合义务教育优质均衡发展的创建等要求，按照免试就近入学原则和本区实际情况，确定各校对口招生入学范围，确保符合条件的适龄儿童接受义务教育。

今年，闵行区公办小学、初中招生划片范围如何划分？一起来看看→

1

《2024年闵行区公办小学招生划片范围》

| 序号 | 学校名称 | 学校地址 | 招生划片范围 |
| 34 | 上海市闵行区诸翟学校 | 华漕镇纪翟路221号 | 陈家角村、肖王庙村、石皮弄村、诸翟村、朱家泾村、诸新一村（平乐路165弄）、诸新三村（纪翟路450弄）、紫薇新村（紫苑路）、金丰小区（金丰路121弄、金丰路179弄）、美邻苑（保乐路666弄）、紫堤苑（北翟路5088弄）、九方家园（保乐路168弄）、紫薇二村（北翟路5259弄）、西郊庄园（金丰路588弄）、九韵城（繁兴路300弄）、瑞生花园（保乐路358弄）、华新中心村（纪翟路1135弄）、西郊河畔（繁兴路469弄）、紫堤坊（纪翟路99弄）、香港花园（纪翟南路188弄）、林茵湖畔（幸乐路500弄、金丰路55弄）、万科红郡（诸新路377弄、诸新路388弄）、兰乔圣菲（金辉路333弄）、北翟路5103弄、北翟路5115弄、景平苑（繁兴路1000弄）、景雅苑（开兴路199弄）、北翟路5120弄、玫瑰里（运乐路288弄）、网球俱乐部公寓（金丰路555弄）、马德里洋房（金丰路777弄）、新华花园（纪翟路335弄100支弄）、虹桥晶邸（繁兴路333号）、金臣别墅（金光路801号）、丽华雅苑（金光路699号）、馨泰佳苑（季乐路476弄）、馨乐佳苑（季乐路299弄）。【以下小区暂时安置】：虹桥博雅苑（朱建路666弄）、虹桥舒雅苑（方亭路566弄）、禧瑞怡庭（徐亭路35弄）、禧瑞铭庭（徐亭路36弄）、前湾雅苑（金辉路1061弄）、虹桥茗雅苑（纪潭路75弄1-19号） |
| 35 | 上海市金汇实验学校 | 虹桥镇红松路81弄18号 | 金汇花园一街坊、华源公寓、金汇福邸（虹井路618弄）、金汇花园三街坊（红松路175弄）、金汇名人苑（红松路175弄）、宝虹公寓（红松路175弄）、先锋公寓（红松路175弄）、金汇花园四街坊（金汇路518弄）、金汇华光城（金汇路588弄）、金汇鸿锦苑（虹井路482弄）、金坤花园（金汇路515弄）、南洋绿都（程家桥路168弄58支弄）、金汇丽舍（原韵动时代（金汇路460弄））、金斯花园（金雨路88弄）、金俊苑（虹井路368弄）、程家桥路221弄、程家桥路211弄、金汇紫薇苑（红松路81弄153支弄）、旭辉识庐（红松路81弄169支弄)、虹桥衡园（虹井路728弄）、光大花苑（程家桥路269弄）、顺安公寓（程家桥路185弄） |
| 36 | 上海市莘光学校 | 莘庄镇雅致路18号 | 水清一村（雅致路228弄）、水清二村（水清路298弄）、水清三村（庙泾路52弄）、水清嘉苑（水清路378弄25支弄）、雅致公寓（雅致路31弄）、大唐别墅（水清路500弄）、水清路539弄、水清路759弄、阳明国际花园（水清路588弄、山花路65弄、山花路108弄）、报春一村（报春路817弄）、报春二村（报春路863弄）、报春三村（报春路816弄）、报春四村（报春路862弄）、金宵大厦（碧泉路36弄）、银宵大厦A座（沪闵路6259弄）、银宵大厦B座（沪闵路6269弄）、众众家园（莘建东路388弄、莘建东路399弄12支弄）、新珠苑（莘建东路539弄）、开城新村（莘朱路81弄）、紫欣公寓（碧秀路98弄）、地铁明珠苑（莘建东路198弄、258弄）、丽华公寓（报春路748弄）、绿茵苑（公寓）（报春路558弄、山花路268弄）、新梅花苑（报春路488弄、报春路388弄）、新梅公寓（报春路485弄、报春路399弄）、新梅广场（沪闵路6666弄）、景和茗苑（龙茗路69弄）、东苑绿世界一期（沪闵路6918弄）、东苑绿世界二期（报春路128弄）、东苑绿世界三期（沪闵路6780弄）、东苑佳佳花园（报春路218弄）、莘光苑（龙茗路149弄）、莲浦花苑（沪闵路6988弄）、东苑新天地（疏影路711弄、疏影路758弄、群英路75弄）、东苑新天地公寓（七莘路765弄1号）、东苑福邸（群英路88弄）、宝安新苑（疏影路789弄）、富林苑三期（疏影路838弄）、富林苑二期（疏影路999弄）、富林苑一期（中春路5839弄）、东湖花园（疏影路1020弄）、林水美地苑（疏影路1188弄）、莘城苑（疏影路1111弄）、虹莘路1200弄。【以下小区暂时安置】：两湾新苑（莘朱路718弄）、金辉海上铭著（莘朱路698弄） |
| 37 | 上海市闵行区纪王学校 | 华漕镇纪翟路1655号 | 华漕镇红卫村、纪东村、纪王村、纪西村、鹫山村、卫星村、赵家村、银杏新村（纪翟路1625弄）、纪丰苑（纪翟路1558弄）、祥宾新村（纪川路55弄）、纪高苑（纪高路728弄）、纪高苑二期（纪川路198弄）、祥宾二村（纪高路448弄）、友谊新村（纪中路66弄、纪中路100弄）、纪高路295弄、纪高路405弄、纪育路446弄、纪育路516弄、纪中路南一村、纪中路南二村、纪中路北一村、纪中路北二村、纪王大街、纪王纪前路毛家弄、鹫山小区（纪鹤路559弄1-128号）、永丰苑（纪鹤路589弄1-90号） |
| 38 | 上海市马桥强恕学校 | 马桥镇北松路2258号 | 马桥村、工农村、联工村、联盟村、联建村、望海村、星星村、俞塘村、三裕村、旗忠村（光华路2515弄、光华路2525弄、光华路2651弄、光华路2715弄、光华路2907弄、光华路3100弄、光华路3166号、曙光路1950弄、曙光路2000弄、曙光路2050弄、曙光路2055弄）、马桥居委（中街小区[东街11-18号、富岩路230弄、西新路15弄、富岩路1-23号，中街149、151、153、155、157弄，中街190、221号，南中街51-55号，东新街1-25号，新村3、4幢，新街10、12号，东新街2弄，西街1-21号]、东街小区[老东街20-58号]，西街小区[西新路58弄]，S32小区[富岩路155弄、富岩路156弄、昆阳路2038弄]）、敬南居委（富岩路328弄、335弄、裕丰小区、敬南苑、敬南路1-3号、富岩路268弄16支弄）、元吉居委（联青路50弄、联青路51弄、联青路135弄、联青路198弄、联青路480弄、花王路450弄）、元祥居委（联青路698弄、联青路699弄、华宁路2700弄、元和路181弄、元江路459弄、元江路4260弄、元江路4600弄、元江路4805弄）、茜昆居委[山水世纪花园（曙光路1688弄、曙光路1758弄）、长岛别墅（昆阳路3558号）、中房森林别墅（昆阳路3388弄）、绿城玫瑰园（中青路1555弄）、御涛园（茜昆路518弄）、红庐香颂（昆阳路3299号）、红庐雅颂(元江路5225弄）、旗忠愉园（昆阳路3688弄）]、旭丽花园(北松公路838弄)、裕隆花园（北松路1600号）、联仲都悦会（中秀路100弄）、悦和雅苑（茜昆路888号）、隐秀云邸（曙光路1500弄） |
| 39 | 上海市古美学校 | 古美路街道莲花路486弄25号 | 古美一村（莲花路528弄）、古美三村（平阳路360弄）、古美四村（古美公寓）（平阳路300弄）、古美五村（顾戴路35弄）、古美六村（古美路440弄）、古美七村（平阳路50弄）、古美八村（莲花路310弄）、古美九村（阳光星期八）（古美路377弄、莲花路288弄）、古美十村（平阳路111弄）、75751部队家属院（顾戴路115弄）、成亿家园（顾戴路251弄）、阳光美景城（平阳路59弄）、金梅公寓（虹梅路263号）、锦隆别墅（古美路58号、沪闵路7948弄）、上海花园（沪闵路7886弄、沪闵路7888弄）、南方新村（古美西路86弄）、莲花公寓（莲花路425弄、莲花路325弄）、宝城大厦(虹梅路269号）、望族新苑（万源路400弄）、风荷云墅（顾戴路645弄）、金领华庭（古美路350弄）、古美西路316弄、晶杰苑(古美西路399弄)、古美西路420弄、南方城(沪闵路7580弄111支弄) |
| 40 | 上海师范大学康城实验学校 | 莘庄镇莘松路958弄瀑布湾道18号 | 上海康城（莘松路958弄） |
| 41 | 上海市莘城学校 | 莘庄镇普洱路158号 | 江南苑（莘朱路222弄）、好世鹿鸣苑（闵城路199弄）、中祥哥德堡（珠城路99弄）、世纪阳光苑（珠城路99弄）、凯利大楼（春申路3758弄）、新梅莘苑（珠城路118弄）、都市星城（富都路111弄、天河路39弄）、奥塞花园（普洱路88弄）、东苑利华苑（春申路3799弄65支弄）、春申五村（都市路4499弄）、春申四季苑（都市路4633弄）、绿水家园（春申路3799弄100支弄）、春申丽园（春申路3799弄18支弄、春申路3799弄33支弄）、莘梓苑（都市路5058弄）、塞纳左岸/东苑利景（宝城路500弄）、莘城公寓（宝城路158弄）、名都新城（富都路55弄、宝城路155弄、名都路20弄、友情路50弄）、莲蒲新苑（名都路58弄）、都市苑（腾冲路180弄）、柏林春天（春申路3355弄、都市路4580弄）、华丽家园（春申路3455弄）、金铭新水岸（腾冲路50弄）、悦麓苑（莘朱路288弄） |
| 42 | 上海市闵行区明星学校 | 莘庄镇黎安路339号 | 水清苑（水清路1000弄）、香树丽舍（水清路999弄）、星丰苑（黎明路155弄）、黎安一村（黎安路551弄）、黎安二村（南区：水清路1111弄，北区：黎安路486弄）、黎安三村（黎安路380弄）、黎安四村（水清路1100弄）、盛园（秀文路555弄）、圣淘沙（顾戴路2199弄）、银星小区（水清路1550弄）、当代艺墅（顾戴路1801弄）、现代缘墅（水清路1028弄）、莘庄镇明星村、莘庄镇南马村、大虹桥国际公馆（秀涟路111弄） |
| 43 | 上海市闵行区文来实验学校 | 新虹街道申滨路615号 | 爱博一村（宁虹路1101弄）、爱博二村（申滨路1051弄）、爱博三村（申滨路1058弄）、涞港星苑（华涞路255弄）、【以下小区暂时安置】：万科时一区（申郑路18弄、兴虹路299弄、兴虹路399弄、兴虹路368弄）、虹桥富力悦都、恒基旭辉中心、尚品华庭（申贵路1557弄） |
| 44 | 上海市闵行区君莲学校 | 颛桥镇沪光路120号 | 龙泽苑（都会路3199弄）、幸福苑（都会路2799弄）、广润苑（春都路88弄）、君莲新城中城苑（春都路75弄）、爱庐世纪新苑（沪光路39弄）、光辉村农民别墅（沪光路180弄）、宏润丽苑（春都路358弄）、星河湾、君莲闵都雅苑（沪光路425弄）、众秀新家园（都会路2626弄） |
| 45 | 上海市闵行区华漕学校 | 华漕镇申长路2051弄32号 | 华漕村、许浦村、王泥浜村、陶家角村、杨家巷村、新家弄村、光华村、爱博四村（天山西路4358弄）、爱博五村（天山西路4178弄）、爱博六村（申长北路185弄）、爱博七村（博恒路289弄）、金色西郊城（北翟路2000弄）、农科院居委（北翟路2900弄华苑小区）、华漕二居委（北华路168弄万博家园、北沈路288弄万博欣园，华江路1415弄华漕新村、北沈路260弄西郊东苑）、华美路居委（华美东路151弄、华美东路220弄、中华美路5弄、中华美路60弄、华美中路1—7弄、华美西路10—18号、西华美路1—9号、吴漕路1001号、吴漕路1003号、吴漕路1005号、吴漕路1007号、华美中路18号、华美南路65号-67号）、华美路二居委（华美路108弄、华美路100弄、东华美路10弄、华美路151弄、中华美路60弄6—13号、中华美路156弄8—22号、吴漕路1018弄） |
| 46 | 上海世外教育附属浦江外国语学校 | 浦江镇景容路66号 | 为民村、徐凌村、李巷村、恒星村、叶凌村、立民村、东风村、苏民村、勤劳村、建中村、三友村、知新村、友建村、宝华源墅（三鲁公路5588弄） |
| 47 | 上海交通大学附属闵行区马桥实验学校 | 马桥镇银春路1750号 | 夏朵小区（银春路1799弄）、飞碟苑小区（银春路1800弄）、华银坊（华宁路1399弄）、银春苑（银康路76弄）、银康苑（银林路100弄） |
| 48 | 上海市闵行区七宝文来学校 | 七宝镇华友路315号 | 阳光神州苑（华林路228弄、华林路229弄）、莲浦府邸（一期）（七莘路1818弄)、碧林湾南苑（华友路150弄、华友路260弄）、蓼花汀（七莘路1728弄）、富丽公寓西区（七莘路1999弄）、富丽公寓东区（七莘路1666弄）、摩登堂（中谊路909弄）、丽友新村（七莘路2055弄）、碧林湾新苑（中谊路969弄）、碧林湾新苑二期（华友路550弄）、中华村/宝华花园（中春路6689弄）、东碧林湾（七莘路1890弄）、【以下小区暂时安置】：古美名邸（古龙路1555弄） |
| 49 | 上师大附属中学闵行实验学校 | 浦江镇闸航路4098号 | 永新村、永胜村、永丰村（浦星公路以西）、永建村（浦星公路以西）、兴顺苑（鲁建路2658弄）、兴利苑（永高路255弄）、星华园（盐铁塘路565弄）、颂和苑（永颂路455弄）、和康苑（永颂路299弄）、浦欣苑（永高路75弄）、永锦苑（永颂路198弄）、盛华苑（鲁康路1198弄）、丹桂苑（永恩路80弄）、玉兰苑（闸航路4398弄）、香樟苑（盐铁塘路435弄）、丽华苑（盐铁塘路272弄）、佳兴苑（永跃路782弄）、浦芳苑（盐铁塘路176弄）、浦晨雅苑（永杰路439弄）、宝铭莲浦苑（永杰路577弄）、锦宏苑（永跃路550弄）、馨宁佳苑（永跃路555弄）、欣康苑（永跃路781弄）、旭辉江山都会（永跃路208弄）、永康城浦上雅苑（新港河路385弄） |
| 50 | 华东理工大学附属闵行梅陇实验学校 | 梅陇镇镇西路299号 | 上陇新村（上中西路738弄、上中西路810弄、虹梅南路601弄）、中梅苑（上中西路735弄、上中西路767弄、上中西路855弄、罗秀路1339弄、罗秀路1459弄）、朱梅小区（上中西路925弄）、世纪苑（莲花南路155弄）、望族苑（上中西路1285弄）、罗秀苑（上中西路1011弄）、新罗秀苑（罗秀路1555弄）、罗秀新苑（罗秀路1651弄）、梦景苑（罗秀路1701弄）、嘉和花苑（罗秀路1955弄、罗秀路1999弄）、西班牙名苑（罗秀路1980弄）、梅陇一村、梅陇二村、紫藤一村、紫藤二村、陇兴村、陇南村、张慕村(淀浦河以北)、锦鸿公寓（益文路101弄）、益文路79弄、益文苑（益文路100弄）、花园别墅（镇西路515号）、梅陇镇镇南单、双弄 |
| 51 | 上海交通大学附属闵行实验学校 | 富学路99号 | 详见学校招生简章 |
| 温馨提醒1.依据当年市、区招生政策和区教育局确定的对口招生入学范围，以“相对就近、免试入学”为原则，安排符合条件的学生入学。2.招生入学范围的设定以当年公示为准。由于受人口出生高峰等因素的影响，部分公办学校招生入学划片范围会有适当调整。 |

小学阶段招生

招生入学对象：

2024年小学招生入学对象为：2017年9月1日—2018年8月31日出生，年满6周岁的儿童。本市户籍适龄儿童，确因身体状况等特殊原因不能当年度入学的，可向所在区教育行政部门咨询，申请推迟一年入学。上一年度因身体状况等特殊原因未入学的本市户籍儿童，可向所在区教育行政部门提出入学申请。

入学信息登记：

2024年，根据本市义务教育招生入学工作要求，相关部门、学校（幼儿园）要切实做好人员培训、设施设备配备、网络畅通等保障工作，合理安排相应的工作人员，确保适龄儿童入学信息登记工作顺利进行。适龄儿童家长可凭“一网通办”或“随申办”实名账号登录“上海市义务教育入学报名系统”，查询入学信息，进行在线报名。

4月15日—4月28日，为“幼升小”信息登记时间。入学信息登记有两种方式：

1

在园适龄儿童：

家长可通过幼儿园登记孩子入学信息，并获取《上海市小学入学信息登记表》和“入学报名告知书”。本市户籍人户分离的适龄儿童在进行入学信息登记时，家长选择并确定户籍地就读或居住地就读的意愿，一旦确认不可修改。

2

未入园适龄儿童：

未入园适龄儿童和闵行区民办三级幼儿园适龄儿童，家长可前往区指定地点登记孩子入学信息（详见附件1），并获取《上海市小学入学信息登记表》和“入学报名告知书”。

2024年闵行区义务教育阶段学校招生入学区级指定登记点信息

注意：各类未入园适龄儿童（含民办三级幼儿园适龄儿童）家长可至上述区级指定登记点进行入学信息登记。登记时间为4月15日—4月28日。

全市小学入学信息登记截止日为4月28日，所登记的入学信息不再更改。

公民办小学入学报名：

符合入学报名条件的适龄儿童家长，须在“一网通办”网站义务教育入学专栏或“上海市义务教育入学报名系统”进行入学报名，选择“公办小学报名”或“民办小学报名”。其中公办小学报名时间为5月8日—5月12日，民办小学报名时间为5月8日—5月10日。

公办小学入学安排方法：

公办小学应根据区教育局确定的对口招生入学范围和招生计划，按照“相对就近、免试入学”的原则，安排适龄儿童入学。

对于闵行区户籍地（户主为直系亲属或本人）与居住地（产权人为直系亲属或本人，且全部或共同共有）一致的适龄儿童，当报名人数不超过对口学校招收计划数时，安排就近入学；当报名人数超过对口学校招收计划数时，按照适龄儿童户籍迁入时间先后排序安排入学，超出部分实行区域内统筹安排入学。对于区域内入学矛盾突出的学校，严格实施每户地址五年内只享有一次同校对口入学机会（多胞胎、二孩除外）。

根据本市有关规定，继续做好本市户籍“人户分离”适龄儿童居住地登记入学工作。具有本市户籍的适龄儿童确有困难不能在户籍地入学的，凭街镇社区事务受理服务中心出具的《本市户籍人户分离人员居住登记（回执）》（或《本市户籍人户分离人员居住登记凭证》），申请居住地登记入学（截止日为4月28日）。本市户籍“人户分离”适龄儿童选择居住地登记入学的，先安排户籍地与实际居住地一致的适龄儿童就近入学，再根据区域内实际情况统筹安排“人户分离”适龄儿童入学。

本市集体户籍适龄儿童参照居住地登记入学办法就读，本市户籍居住廉租房的适龄儿童，可凭户口簿及相关居住证明在廉租房所在地登记入学。

来沪人员随迁子女招生：

根据《上海市人民政府办公厅转发市教委等四部门关于来沪人员随迁子女就读本市各级各类学校实施意见的通知》(沪府办规〔2018〕5号)等要求，切实做好来沪人员适龄随迁子女招生入学工作，加强对随迁子女入学条件的审核。

2024年，来沪人员适龄随迁子女需在闵行区接受义务教育的，适龄儿童须持有效期内《上海市居住证》或《居住登记凭证》，父母一方须持有效期内《上海市居住证》，且一年内（2023年7月1日至2024年6月30日）参加本市职工社会保险满6个月（不含补缴）或连续3年（从首次登记日起至2024年6月30日）在街镇社区事务受理服务中心办妥灵活就业登记。

公办小学验证：

按市教委规定，5月18日—5月21日为全市公办小学第一批验证日。全区公办小学对已完成报名的适龄儿童以及家长的证件进行核对。“随申办”或“一网通办”网站中的电子证照与纸质证件可同等效力使用。

本市户籍的儿童

家长须提供户口簿、《上海市小学入学信息登记表》等相关材料；在居住地登记就读的还需携带《本市户籍人户分离人员居住登记（回执）》（或《本市户籍人户分离人员居住登记凭证》）或配住廉租房等相关材料。

非本市户籍的儿童

家长须提供户口簿、《上海市小学入学信息登记表》、父母一方有效的《上海市居住证》、参加本市职工社会保险证明或《就业失业登记证》，以及适龄儿童本人的合法居住等证件。

各验证点对登记就读一年级的来沪人员随迁子女及其父母的有关证件和有效期限进行核对，通过信息系统对来沪人员随迁子女父母参加本市职工社会保险、灵活就业登记证明进行信息比对。

5月22日起，对已验证通过的适龄儿童，陆续发送公办小学入学告知信息。未被民办小学录取的，参加公办小学第二批验证，时间为5月25日—5月26日。

初中阶段招生

小学毕业信息核对：

4月15日-4月26日，区教育考试中心组织本市户籍和符合条件的非本市户籍小学五年级学生家长对“上海市义务教育入学报名系统”中的户籍地址、居住地址等关键信息进行核对，并填写监护人手机号码（作为接收初中入学信息的联系方式）。如发现有关信息与实际情况不符的，家长应及时凭有效证件通过学生就读小学进行更正。同时组织民办一贯制学校征求本校直升意愿。4月26日为本市小学五年级学生初中入学关键信息核对、更正截止日。

按照闵行区“小升初”的相关要求，请学生家长在规定时间内提供相应材料，完成小升初信息登记表的填写、核对和确认等工作。

回户籍（居住）地就读：

跨区就读的本市户籍小学五年级学生，应在就读小学毕业，毕业后可在学籍所在区就读初中，也可根据实际情况申请回户籍（居住）地所在区就读初中。确需回户籍（居住）地入学的学生，应向所就读小学提出申请，由学校告知审核证件、网上申请、统筹安排等事项，家长在网上填报《本市户籍学生回户籍（居住）地就读申请表》，经审核符合条件的，由户籍（居住）地区教育行政部门统筹安排进入公办初中学校就读。办理申请回户籍（居住）地就读手续的截止日期为4月26日。

公办初中入学方式：

九年一贯制公办学校的小学毕业生原则上直接升入本校初中部就读。

闵行区公办初中学校以“人户一致优先”原则，对于闵行区户籍地（户主为直系亲属或本人）与居住地（产权人为直系亲属或本人，且全部或共同共有）一致的学生，当报名人数不超过对口学校招收计划数时，安排就近入学；当报名人数超过对口学校招收计划数时，按照学生户籍迁入时间先后排序安排入学，超出部分实行区域内统筹安排入学。对于区域内入学矛盾突出的学校，严格实施每户地址五年内只享有一次同校对口入学机会（多胞胎、二孩除外）。在完成上述安排尚有招生计划情况下，采取居住地段对口、小学划片对口等方式统筹安排学生入学。

来沪人员随迁子女入学：

符合当年招生相关规定的来沪人员随迁子女小学毕业学生，由区教育行政部门和区教育考试中心根据实际情况统筹安排至闵行区公办初中就读。初中学校应告知学生及家长完成义务教育后报考高中阶段学校的相关政策和规定，并在入学前签订《闵行区非上海户籍初中学生就读告知书》。

来沪就读六年级：

在外省（自治区、直辖市）就读的符合闵行区义务教育阶段招生条件的学生，如需在闵行区就读六年级的，须携带相关证件到区教育考试中心办理入学信息登记手续，由区教育考试中心统筹安排入学。

民办学校招生

招生简章与要求：

民办学校的招生简章及公告，须在4月2日前报区教育局审核备案，并在规定时间通过学校网站等平台向社会公布。民办学校的招生简章内容应包括学校办学情况、办学特色、招生计划、收费情况、“三个承诺”（不提前组织学生报名或变相报名，不举行任何测试、测评、学科练习、面试或面谈，招生录取不与任何培训机构挂钩）等。民办学校应严格按照公布的简章及公告实施招生工作。

网上报名与志愿：

本市民办学校实行网上报名和招生录取工作。

5月8日—5月10日，报名就读民办小学的适龄儿童须在“一网通办”网站义务教育入学专栏或“上海市义务教育入学报名系统”填报志愿，每个适龄儿童填报1所民办小学参加电脑随机录取，并可填报1个民办小学调剂志愿。

5月13日—5月15日，报名就读民办初中的学生须在“一网通办”网站义务教育入学专栏或“上海市义务教育入学报名系统”填报志愿，每个学生填报1所民办初中参加电脑随机录取，并可填报1个民办初中调剂志愿。一旦完成报名，将不得再次报名或修改报名信息、放弃报名志愿。

录取程序与时间：

规范民办学校招生录取程序。如报名人数小于或等于招生计划的，全部录取；如报名人数超过招生计划的，招生计划全部由区教育局组织实施电脑随机录取。

5月7日，开展民办一贯制学校直升录取工作。5月20日—5月21日，对报名人数超过招生计划数的民办学校实施电脑随机录取。电脑随机录取使用全市统一软件，实施全程录像，在电脑随机录取过程中引入公证机构参与，并向市、区两级教育行政、督导、纪检监察部门以及学校家委会代表等公开，自觉接受社会监督。

电脑随机录取结果由区教育行政部门负责公布，并导入“上海市义务教育入学报名系统”。对于需家长确认是否符合报名条件的计划，其电脑随机录取产生结果为预录取，教育行政部门可组织对预录取学生进行验证，验证时间为5月22日。5月23日，安排调剂志愿录取。

入学告知与其他：

5月22日起全市将通过短信、“上海市义务教育入学报名系统”等渠道陆续告知相关入学信息。民办学校完成招生工作后，学校将录取名单上报区教育局。学生按学校通知办理入学手续。

未被民办中小学录取的，根据第一批公办中小学已分配入学的实际情况，由区教育行政部门按照当年度区、校招生政策和细则安排入学。小学毕业生如已填报《本市户籍学生回户籍（居住）地就读申请表》，按照填表时所选择的户籍（居住）地，由相关区教育行政部门统筹安排进入公办初中就读。

2024年闵行区一年级招生入学

工作日程安排

2024年闵行区六年级招生入学

工作日程安排

2024年闵行区义务教育阶段招生入学

咨询单位、电话一览表

关于本市户籍

“人户分离”适龄儿童、学生

回居住地入学的工作办法

公办小学

2017年9月1日—2018年8月31日出生的本市户籍适龄儿童，区教育局根据“户籍地（户主为直系亲属或本人）与居住地（产权人为直系亲属或本人，且全部或共同共有）一致优先”的原则，先安排该类对象就近入学。当报名人数不超过学校招收计划数时，安排就近入学；当报名人数超过计划数时，按照适龄儿童户籍迁入时间先后排序安排入学，超出部分实行区域范围内校际间统筹安排就读学校。

对本市户籍“人户分离”的下列三类对象，原则上安排就近入学。

1

本市户籍因市政动迁、由动迁办安置在闵行区的，凭本市户籍、市政动迁安置协议等，在安排“户籍地（户主为直系亲属或本人）与居住地（产权人为直系亲属或本人，且全部或共同共有）一致”适龄儿童入学后，参照上述操作。

2

本市户籍配住廉租房家庭的适龄儿童，凭户口簿、《本市户籍人户分离人员居住登记（回执）》（或《本市户籍人户分离人员居住登记凭证》）、配住廉租房居住协议等，在安排完成“人户分离”第一类规定情况入学后，参照上述操作。

3

本市外区户籍但持闵行区房产证（产权人为父母或本人，且全部或共同共有）的适龄儿童，在解决第二类规定情况入学后，参照上述操作。

持有效期内《上海市居住证》且积分达到标准分值人员的同住子女，参照本市户籍人户分离居住地入学政策。若居住证地址与闵行区房产证（产权人为父母或本人，且全部或共同共有）一致，凭积分达标的上海市居住证、户口簿、房产证及适龄儿童有效期内的《上海市居住证》、或《居住登记凭证》，在解决第三类规定情况入学后，参照上述操作。

除上述情况外的本市户籍“人户分离”的适龄儿童，请提供户口簿、《本市户籍人户分离人员居住登记（回执）》（或《本市户籍人户分离人员居住登记凭证》）等（持有效期内上海市居住证且积分达到标准分值或本市集体户口在闵行区租房居住的，提供积分达到标准的上海市居住证或本市集体户口证明、房屋租赁合同登记备案证明、户口簿等材料），根据居住地所在区域统筹安排入学。

公办初中

由区教育考试中心对本区小学毕业生按照“人户一致优先” 为原则，相对就近统一安排到各公办初中（具体方法参照公办小学）。

要求回闵行区就读的本市户籍本市外区学籍小学毕业生，由区教育考试中心按照学生提供的相关材料统筹安排进入公办初中就读。

02

关于公办学校区域范围内校际间

统筹安排的工作办法

由于个别地区适龄儿童、学生人数相对集中，辖区内报名人数远超学校招生计划数，为确保全体适龄儿童、学生入学和保持招生地段范围的相对稳定，根据当年招生工作摸底情况，对公办学校进行区域范围内校际间统筹安排招生工作。方法如下：

1

对于闵行区户籍地（户主为直系亲属或本人）与居住地（产权人为直系亲属或本人，且全部或共同共有）一致的适龄儿童、学生，当报名人数不超过对口学校招收计划数时，安排就近入学；当报名人数超过对口学校招收计划数时，按照适龄儿童、学生户籍迁入时间先后排序安排入学，超出部分实行区域内统筹安排入学。

2

具有本市户籍，因“市政动迁”户籍暂时没有迁入闵行区居住地的适龄儿童、学生，凭动迁证明在安排完成第1条规定情况入学后，参照上述操作。

3

本市户籍配住廉租房的适龄儿童、学生，可凭户口簿和配住廉租房相关居住证明等在安排完成第2条规定情况入学后，参照上述操作。

4

非闵行区户籍但持闵行区房产证（产权人是父母或本人，且全部或共同共有）的适龄儿童、学生（需要提供符合当年招生相关规定的材料），在安排完成第3条规定情况入学后，参照上述操作。

说 明：

（1）对于区域内入学矛盾突出的学校实施每户地址五年内只享有一次同校对口入学机会（多胞胎、二孩除外）。五年内已有适龄儿童入学的，由区教育局统筹安排入学。部分公办学校的对口入学条件继续执行适龄学生户籍迁入时间必须满1年及以上（具体情况可参见各学校的招生公告）。

（2）闵行区集体户籍适龄儿童参照本市户籍人户分离适龄儿童回居住地入学工作办法就读。

（3）如家长不选择报名公办小学，又未被民办小学录取的，根据第一批公办小学验证和已分配入学的实际情况，以“本区户籍人户一致优先、同类排序靠后”（比如同属人户一致类，即排在此类靠后）为原则，按照当年度区、校招生政策和细则安排入学。

（4）报名民办初中未被录取的，在公办初中已分配入学的实际情况下，以“本区户籍人户一致优先、同类排序靠后”（比如同属人户一致类， 即排在此类靠后）为原则，由区教育考试中心按照当年度区、校招生政策和细则安排入学。如已填报《本市户籍学生回户籍（居住）地就读申请表》，按照填表时所选择的户籍（居住）地，由区教育考试中心统筹安排进入公办初中就读。

（5）九年一贯制公办学校小学毕业生原则上升入原学校就读六年级（如是随迁子女学生，需要提供符合当年招生相关规定的材料）。若要求回户籍（居住）地就读的学生，按报名系统要求选择适当选项，如选择在闵行区户籍（居住）地就读的，则按照本款相关内容执行。

2024年需统筹的若干区域分组情况

（1）小学部分：

●实验小学（莘松校区）、实验小学（春城校区）、实验小学（景城校区）、实验小学（畹町校区）、曹行小学为一组

●康城学校（小学部）、花园学校、莘松小学为一组

●明强小学（东校区）、明强小学（西校区）、明强二小、黎明小学、七宝实验小学、航华二小为一组

●平南小学、平南小学（平吉校区）、日新实小、平阳小学、新梅小学、明星学校（小学部）、古美学校（小学部）为一组

