▲ Next.js 16.1.1 (webpack)
- Local:         http://localhost:3000
- Network:       http://10.35.12.32:3000
- Environments: .env.local
- Experiments (use with caution):
  · optimizePackageImports

✓ Starting...
✓ Ready in 6.2s
 GET /legal/terms 200 in 129ms (compile: 16ms, render: 113ms)
 GET /api/auth/session 200 in 11ms (compile: 4ms, render: 7ms)
 GET /legal/refund 200 in 124ms (compile: 24ms, render: 100ms)
 GET /this-route-does-not-exist 404 in 95ms (compile: 20ms, render: 75ms)
 GET /api/auth/session 200 in 95ms (compile: 89ms, render: 7ms)
 POST /api/auth/_log 200 in 14ms (compile: 5ms, render: 9ms)
 GET /legal/disclaimer 200 in 148ms (compile: 20ms, render: 128ms)
 GET /api/auth/session 200 in 11ms (compile: 4ms, render: 7ms)
 GET /api/auth/session 200 in 12ms (compile: 3ms, render: 9ms)
 GET /sign-in 200 in 197ms (compile: 7ms, render: 191ms)
 GET /onboarding 307 in 166ms (compile: 9ms, render: 157ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 98ms (compile: 13ms, render: 85ms)
 GET /api/auth/session 200 in 31ms (compile: 21ms, render: 10ms)
 GET /api/auth/session 200 in 53ms (compile: 43ms, render: 10ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 91ms (compile: 8ms, render: 83ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 165ms (compile: 5ms, render: 159ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 186ms (compile: 23ms, render: 162ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 130ms (compile: 20ms, render: 110ms)
 GET /api/auth/session 200 in 26ms (compile: 17ms, render: 9ms)
 GET /api/auth/providers 200 in 20ms (compile: 4ms, render: 17ms)
 GET /api/auth/csrf 200 in 24ms (compile: 5ms, render: 19ms)
 GET /api/auth/session 200 in 27ms (compile: 12ms, render: 16ms)
 GET /api/auth/session 200 in 25ms (compile: 8ms, render: 18ms)
 POST /api/auth/callback/dev-login 200 in 30ms (compile: 7ms, render: 23ms)
 GET /api/auth/session 200 in 14ms (compile: 6ms, render: 8ms)
 GET /api/auth/providers 200 in 28ms (compile: 13ms, render: 15ms)
 GET /api/auth/providers 200 in 30ms (compile: 12ms, render: 18ms)
 GET /api/auth/providers 200 in 31ms (compile: 11ms, render: 20ms)
 GET /api/auth/csrf 200 in 31ms (compile: 17ms, render: 15ms)
 GET /api/auth/csrf 200 in 31ms (compile: 14ms, render: 17ms)
 GET /api/auth/csrf 200 in 31ms (compile: 12ms, render: 19ms)
 GET /onboarding 200 in 215ms (compile: 15ms, render: 201ms)
 POST /api/auth/callback/dev-login 200 in 34ms (compile: 10ms, render: 24ms)
 POST /api/auth/callback/dev-login 200 in 36ms (compile: 9ms, render: 27ms)
 POST /api/auth/callback/dev-login 200 in 35ms (compile: 6ms, render: 29ms)
 GET /onboarding 200 in 268ms (compile: 9ms, render: 259ms)
 GET /onboarding 200 in 240ms (compile: 19ms, render: 221ms)
 GET /onboarding 200 in 241ms (compile: 18ms, render: 223ms)
 GET / 200 in 196ms (compile: 24ms, render: 171ms)
 GET /api/auth/session 200 in 31ms (compile: 17ms, render: 14ms)
 GET /api/auth/session 200 in 16ms (compile: 5ms, render: 11ms)
 GET /api/auth/session 200 in 17ms (compile: 3ms, render: 13ms)
 GET /api/auth/session 200 in 15ms (compile: 4ms, render: 10ms)
 GET / 200 in 98ms (compile: 4ms, render: 94ms)
 GET /api/auth/session 200 in 27ms (compile: 18ms, render: 9ms)
 GET / 200 in 37ms (compile: 6ms, render: 31ms)
 GET / 200 in 110ms (compile: 5ms, render: 105ms)
 GET /api/auth/session 200 in 24ms (compile: 17ms, render: 7ms)
 GET / 200 in 104ms (compile: 5ms, render: 99ms)
 GET /api/auth/session 200 in 24ms (compile: 17ms, render: 7ms)
 GET /blog/finger-stiff-after-cast-removal 200 in 94ms (compile: 18ms, generate-params: 14ms, render: 76ms)
 GET /api/auth/session 200 in 26ms (compile: 18ms, render: 9ms)
 GET /blog/unknown-recovery-topic 404 in 111ms (compile: 20ms, generate-params: 15ms, render: 91ms)
 GET /api/auth/session 200 in 24ms (compile: 17ms, render: 7ms)
 GET /legal/privacy 200 in 76ms (compile: 5ms, render: 71ms)
 POST /api/auth/_log 200 in 28ms (compile: 19ms, render: 9ms)
 GET /legal/terms 200 in 117ms (compile: 6ms, render: 112ms)
 GET /api/auth/session 200 in 70ms (compile: 63ms, render: 7ms)
 POST /api/auth/_log 200 in 17ms (compile: 6ms, render: 11ms)
 GET /legal/refund 200 in 116ms (compile: 12ms, render: 104ms)
 GET /this-route-does-not-exist 404 in 54ms (compile: 8ms, render: 47ms)
 GET /api/auth/session 200 in 31ms (compile: 24ms, render: 8ms)
 POST /api/auth/_log 200 in 11ms (compile: 3ms, render: 8ms)
 GET /legal/disclaimer 200 in 118ms (compile: 9ms, render: 108ms)
 GET /api/auth/session 200 in 10ms (compile: 3ms, render: 7ms)
 GET /api/auth/session 200 in 13ms (compile: 4ms, render: 9ms)
 GET /sign-in 200 in 85ms (compile: 8ms, render: 76ms)
 GET /onboarding 307 in 336ms (compile: 10ms, render: 326ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 292ms (compile: 45ms, render: 247ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 292ms (compile: 44ms, render: 248ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 253ms (compile: 3ms, render: 250ms)
 GET /api/auth/session 200 in 46ms (compile: 35ms, render: 11ms)
 GET /api/auth/session 200 in 15ms (compile: 6ms, render: 10ms)
 GET /api/auth/session 200 in 16ms (compile: 3ms, render: 12ms)
 GET /api/auth/session 200 in 13ms (compile: 6ms, render: 6ms)
 GET /api/auth/providers 200 in 15ms (compile: 6ms, render: 9ms)
 GET /api/auth/csrf 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/auth/providers 200 in 20ms (compile: 9ms, render: 10ms)
 POST /api/auth/callback/dev-login 200 in 20ms (compile: 5ms, render: 15ms)
 GET /api/auth/csrf 200 in 32ms (compile: 5ms, render: 27ms)
 POST /api/auth/callback/dev-login 200 in 71ms (compile: 47ms, render: 25ms)
 GET /onboarding 200 in 322ms (compile: 9ms, render: 313ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 310ms (compile: 31ms, render: 279ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 293ms (compile: 11ms, render: 281ms)
 GET /onboarding 200 in 325ms (compile: 116ms, render: 209ms)
 GET / 200 in 133ms (compile: 8ms, render: 125ms)
 GET /api/auth/session 200 in 44ms (compile: 32ms, render: 11ms)
 GET /api/auth/session 200 in 14ms (compile: 6ms, render: 8ms)
 GET /api/auth/session 200 in 16ms (compile: 4ms, render: 11ms)
 GET /api/auth/providers 200 in 13ms (compile: 4ms, render: 9ms)
 GET /api/auth/providers 200 in 32ms (compile: 5ms, render: 26ms)
 GET /api/auth/csrf 200 in 32ms (compile: 3ms, render: 29ms)
 GET /api/auth/csrf 200 in 12ms (compile: 6ms, render: 6ms)
 POST /api/auth/callback/dev-login 200 in 17ms (compile: 5ms, render: 12ms)
 POST /api/auth/callback/dev-login 200 in 22ms (compile: 13ms, render: 8ms)
 GET /api/auth/session 200 in 56ms (compile: 28ms, render: 28ms)
 GET /onboarding 200 in 210ms (compile: 22ms, render: 187ms)
 GET /onboarding 200 in 168ms (compile: 23ms, render: 146ms)
 GET / 200 in 158ms (compile: 7ms, render: 151ms)
 GET /api/auth/session 200 in 43ms (compile: 32ms, render: 11ms)
 GET /api/auth/session 200 in 14ms (compile: 3ms, render: 10ms)
 GET /api/auth/session 200 in 12ms (compile: 4ms, render: 9ms)
 GET / 200 in 41ms (compile: 6ms, render: 35ms)
 GET / 200 in 100ms (compile: 5ms, render: 95ms)
 GET /api/auth/session 200 in 42ms (compile: 33ms, render: 9ms)
 GET / 200 in 101ms (compile: 4ms, render: 97ms)
 GET /api/auth/session 200 in 26ms (compile: 17ms, render: 9ms)
 GET /blog/finger-stiff-after-cast-removal 200 in 107ms (compile: 18ms, generate-params: 14ms, render: 89ms)
 GET /api/auth/session 200 in 27ms (compile: 17ms, render: 9ms)
 GET /blog/unknown-recovery-topic 404 in 113ms (compile: 18ms, generate-params: 13ms, render: 95ms)
 GET /api/auth/session 200 in 24ms (compile: 17ms, render: 7ms)
 GET /legal/privacy 200 in 79ms (compile: 5ms, render: 74ms)
 POST /api/auth/_log 200 in 27ms (compile: 18ms, render: 9ms)
 GET /legal/terms 200 in 115ms (compile: 6ms, render: 109ms)
